t,x,y,z
866.649,-0.0,0.11,1.03
866.776,-0.01,0.08,1.0
866.903,0.02,0.05,1.0
867.03,-0.02,0.05,1.04
867.157,-0.03,0.07,1.01
867.284,-0.04,0.21,0.94
867.411,0.04,-0.05,1.04
867.538,0.02,0.09,0.97
867.665,-0.01,0.0,1.0
867.792,-0.02,-0.04,0.98
867.919,-0.02,-0.0,1.04
868.046,0.03,-0.02,1.01
868.173,0.01,0.05,1.05
868.3,0.05,0.02,0.99
868.427,0.05,0.01,1.0
868.554,0.04,0.05,1.02
868.681,0.04,0.04,1.02
868.808,0.05,-0.03,0.99
868.935,0.05,-0.01,1.01
869.062,0.05,-0.01,1.03
869.189,0.04,-0.03,1.03
869.316,0.06,-0.01,1.0
869.443,0.05,-0.02,1.01
869.57,0.06,-0.03,0.99
869.697,0.06,-0.03,1.01
869.824,0.06,-0.0,1.02
869.951,0.08,-0.02,1.01
870.078,0.06,-0.01,1.01
870.205,0.07,0.0,1.01
870.332,0.08,-0.01,1.0
870.459,0.09,0.0,1.0
870.586,0.08,0.01,1.01
870.713,0.07,0.0,1.0
870.84,0.06,0.0,1.01
870.967,0.09,-0.0,0.97
871.094,0.1,-0.01,0.95
871.221,-0.25,0.11,1.24
871.348,-0.18,-0.01,1.46
871.475,-0.12,-0.01,1.27
871.602,0.69,0.11,0.39
871.729,0.98,0.26,0.79
871.856,0.23,0.13,1.63
871.982,-0.22,-0.15,1.32
872.11,-0.7,-0.04,1.01
872.237,-0.64,0.1,1.62
872.364,0.4,0.09,1.4
872.491,0.64,0.04,0.87
872.618,0.69,0.1,0.48
872.745,0.65,0.24,0.88
872.872,0.24,-0.16,1.5
872.999,-0.17,-0.1,1.34
873.126,-0.53,0.02,1.41
873.253,-0.44,0.17,1.64
873.38,0.38,0.06,1.34
873.507,0.62,0.02,0.76
873.634,0.46,0.02,0.49
873.761,0.51,-0.03,0.8
873.888,0.29,-0.2,1.31
874.015,-0.36,-0.2,1.44
874.142,-0.63,-0.14,1.28
874.269,-0.03,0.08,1.52
874.396,0.41,-0.01,1.18
874.523,0.63,0.01,0.74
874.65,0.54,0.17,0.5
874.777,0.46,0.05,1.01
874.904,0.25,-0.17,1.26
875.031,-0.32,-0.25,1.58
875.158,-0.66,-0.01,1.57
875.285,0.09,-0.01,1.42
875.412,0.33,-0.01,1.06
875.539,0.54,0.05,0.68
875.666,0.44,0.07,0.57
875.793,0.11,0.02,1.14
875.92,-0.35,-0.04,1.38
876.047,-0.21,-0.03,1.4
876.174,-0.06,0.06,0.94
876.301,0.25,0.02,1.11
876.428,0.28,0.03,0.88
876.555,0.23,0.11,1.0
876.682,0.19,0.04,0.96
876.809,0.21,0.05,0.97
876.936,0.14,0.06,1.01
877.063,0.16,0.06,0.98
877.19,0.15,0.01,0.99
877.316,0.14,0.02,0.98
877.443,0.13,0.03,1.0
877.57,0.15,0.02,1.0
877.697,0.16,0.02,0.99
877.824,0.15,0.03,0.99
877.951,0.14,0.02,1.03
878.078,0.15,0.01,0.99
878.205,0.14,0.01,0.99
878.332,0.13,0.01,1.01
878.459,0.14,0.02,1.0
878.586,0.15,0.01,0.99
878.713,0.14,-0.0,1.0
878.84,0.15,0.0,0.99
878.967,0.14,0.01,0.99
879.094,0.14,0.0,1.0
879.221,0.14,0.0,0.99
879.348,0.14,0.01,1.0
879.475,0.13,0.01,1.0
879.602,0.13,0.0,1.0
879.729,0.15,-0.0,0.99
879.856,0.14,0.01,1.0
879.983,0.14,0.01,1.0
880.11,0.13,0.0,1.0
880.237,0.13,0.01,1.0
880.364,0.14,0.02,1.0
880.491,0.14,0.01,1.0
880.618,0.13,0.02,1.01
880.745,0.14,0.01,0.99
880.872,0.14,0.01,0.99
880.999,0.13,0.01,1.0
881.126,0.14,0.01,0.99
881.253,0.14,0.01,0.99
881.38,0.13,0.01,1.0
881.507,0.13,-0.0,1.0
881.634,0.14,0.01,0.99
881.761,0.13,-0.01,1.0
881.888,0.13,-0.01,1.0
882.015,0.13,-0.01,1.0
882.142,0.13,0.0,1.0
882.269,0.12,-0.0,1.0
882.396,0.14,0.0,1.0
882.523,0.12,0.0,1.0
882.65,0.13,-0.01,1.01
882.777,0.12,-0.01,0.99
882.904,0.14,-0.02,0.99
883.031,0.12,-0.01,1.0
883.158,0.12,-0.0,1.01
883.285,0.12,-0.01,1.0
883.412,0.13,-0.03,0.99
883.539,0.13,-0.02,0.99
883.666,0.11,-0.02,1.0
883.793,0.12,-0.02,1.0
883.92,0.12,-0.02,1.0
884.047,0.11,-0.03,1.0
884.174,0.12,-0.03,1.0
884.301,0.11,-0.02,1.0
884.428,0.11,-0.01,1.0
884.555,0.11,-0.01,1.0
884.682,0.1,-0.01,1.0
884.809,0.1,-0.03,1.0
884.936,0.11,-0.02,1.0
885.063,0.11,-0.03,1.0
885.19,0.1,-0.03,1.0
885.317,0.11,-0.04,1.0
885.444,0.1,-0.03,1.0
885.571,0.09,-0.03,1.0
