t,x,y,z
13560.055,0.08,-0.49,-0.87
13560.182,0.08,-0.49,-0.87
13560.309,0.08,-0.49,-0.87
13560.436,0.08,-0.49,-0.87
13560.563,0.08,-0.49,-0.87
13560.69,0.08,-0.49,-0.87
13560.817,0.08,-0.49,-0.87
13560.944,0.08,-0.49,-0.87
13561.071,0.08,-0.48,-0.87
13561.198,0.08,-0.49,-0.87
13561.325,0.08,-0.49,-0.87
13561.452,0.08,-0.49,-0.87
13561.579,0.08,-0.49,-0.87
13561.706,0.08,-0.49,-0.87
13561.833,0.08,-0.49,-0.87
13561.96,0.07,-0.49,-0.87
13562.087,0.08,-0.49,-0.87
13562.214,0.08,-0.49,-0.87
13562.341,0.08,-0.49,-0.87
13562.468,0.08,-0.49,-0.87
13562.595,0.08,-0.48,-0.87
13562.722,0.08,-0.49,-0.87
13562.849,0.08,-0.49,-0.87
13562.976,0.08,-0.49,-0.87
13563.103,0.08,-0.49,-0.87
13563.23,0.08,-0.49,-0.87
13563.357,0.08,-0.49,-0.87
13563.484,0.08,-0.49,-0.87
13563.611,0.08,-0.49,-0.87
13563.738,0.08,-0.49,-0.87
13563.865,0.08,-0.49,-0.87
13563.992,0.08,-0.49,-0.87
13564.119,0.08,-0.49,-0.87
13564.246,0.08,-0.49,-0.87
13564.373,0.08,-0.49,-0.87
13564.5,0.08,-0.49,-0.87
13564.627,0.08,-0.49,-0.87
13564.754,0.08,-0.49,-0.87
13564.881,0.08,-0.49,-0.87
13565.008,0.08,-0.49,-0.87
13565.135,0.08,-0.49,-0.87
13565.262,0.08,-0.49,-0.87
13565.389,0.08,-0.49,-0.87
13565.516,0.08,-0.48,-0.87
13565.643,0.08,-0.49,-0.87
13565.77,0.08,-0.48,-0.87
13565.897,0.07,-0.49,-0.87
13566.024,0.08,-0.49,-0.87
13566.151,0.07,-0.49,-0.87
13566.278,0.08,-0.49,-0.87
13566.405,0.08,-0.49,-0.87
13566.532,0.08,-0.49,-0.87
13566.659,0.08,-0.49,-0.87
13566.786,0.08,-0.48,-0.87
13566.913,0.08,-0.49,-0.87
13567.04,0.08,-0.49,-0.87
13567.167,0.08,-0.49,-0.87
13567.294,0.08,-0.49,-0.87
13567.421,0.08,-0.49,-0.87
13567.548,0.08,-0.48,-0.87
13567.675,0.08,-0.49,-0.87
13567.802,0.08,-0.49,-0.87
13567.929,0.07,-0.49,-0.87
13568.056,0.08,-0.49,-0.87
13568.183,0.08,-0.48,-0.87
13568.31,0.08,-0.49,-0.87
13568.437,0.08,-0.49,-0.87
13568.564,0.08,-0.49,-0.87
13568.691,0.08,-0.49,-0.87
13568.818,0.08,-0.49,-0.87
13568.945,0.08,-0.49,-0.87
13569.072,0.08,-0.49,-0.87
13569.199,0.08,-0.49,-0.87
13569.326,0.08,-0.49,-0.87
13569.453,0.08,-0.49,-0.87
13569.58,0.08,-0.49,-0.87
13569.707,0.08,-0.49,-0.87
13569.834,0.08,-0.49,-0.87
13569.961,0.08,-0.49,-0.87
13570.088,0.08,-0.49,-0.87
13570.215,0.08,-0.49,-0.87
13570.342,0.08,-0.49,-0.87
13570.469,0.09,-0.48,-0.87
13570.596,0.08,-0.48,-0.87
13570.723,0.08,-0.49,-0.87
13570.85,0.08,-0.49,-0.87
13570.977,0.08,-0.48,-0.87
13571.104,0.08,-0.48,-0.87
13571.231,0.08,-0.48,-0.87
13571.358,0.08,-0.49,-0.87
13571.485,0.08,-0.49,-0.87
13571.612,0.08,-0.49,-0.87
13571.739,0.08,-0.48,-0.87
13571.866,0.08,-0.49,-0.87
13571.993,0.08,-0.48,-0.87
13572.12,0.08,-0.49,-0.87
13572.247,0.09,-0.49,-0.87
13572.374,0.07,-0.49,-0.87
13572.501,0.08,-0.48,-0.87
