t,x,y,z
3576.946,0.08,-0.48,-0.87
13577.073,0.08,-0.49,-0.87
13577.2,0.08,-0.49,-0.87
13577.327,0.07,-0.49,-0.87
13577.454,0.08,-0.49,-0.87
13577.581,0.08,-0.49,-0.87
13577.708,0.08,-0.49,-0.87
13577.835,0.08,-0.49,-0.87
13577.962,0.08,-0.49,-0.87
13578.089,0.08,-0.49,-0.87
13578.216,0.08,-0.48,-0.87
13578.343,0.08,-0.49,-0.87
13578.47,0.08,-0.49,-0.87
13578.597,0.07,-0.49,-0.87
13578.724,0.08,-0.49,-0.87
13578.851,0.08,-0.49,-0.87
13578.978,0.08,-0.49,-0.87
13579.105,0.08,-0.49,-0.87
13579.232,0.08,-0.49,-0.87
13579.359,0.08,-0.49,-0.87
13579.486,0.08,-0.49,-0.87
13579.613,0.08,-0.49,-0.87
13579.74,0.08,-0.49,-0.87
13579.867,0.08,-0.49,-0.87
13579.994,0.08,-0.49,-0.87
13580.121,0.08,-0.49,-0.87
13580.248,0.08,-0.49,-0.87
13580.375,0.08,-0.49,-0.87
13580.502,0.08,-0.49,-0.87
13580.629,0.08,-0.49,-0.87
13580.756,0.08,-0.49,-0.87
13580.883,0.08,-0.49,-0.87
13581.01,0.08,-0.49,-0.87
13581.137,0.08,-0.49,-0.87
13581.264,0.08,-0.49,-0.87
13581.391,0.08,-0.49,-0.87
13581.518,0.08,-0.49,-0.87
13581.645,0.08,-0.49,-0.87
13581.772,0.08,-0.49,-0.87
13581.899,0.08,-0.49,-0.87
13582.026,0.08,-0.49,-0.87
13582.153,0.08,-0.49,-0.87
13582.28,0.07,-0.49,-0.87
13582.407,0.08,-0.49,-0.87
13582.534,0.08,-0.49,-0.87
13582.661,0.08,-0.49,-0.87
13582.788,0.08,-0.49,-0.87
13582.915,0.07,-0.49,-0.87
13583.042,0.08,-0.49,-0.87
13583.169,0.08,-0.49,-0.87
13583.296,0.08,-0.48,-0.87
13583.423,0.08,-0.49,-0.87
13583.55,0.08,-0.49,-0.87
13583.677,0.07,-0.49,-0.87
13583.804,0.07,-0.49,-0.87
13583.931,0.08,-0.49,-0.87
13584.058,0.08,-0.49,-0.87
13584.185,0.08,-0.49,-0.87
13584.312,0.08,-0.48,-0.87
13584.439,0.08,-0.49,-0.87
13584.566,0.08,-0.49,-0.87
13584.693,0.08,-0.49,-0.87
13584.82,0.08,-0.48,-0.87
13584.947,0.08,-0.49,-0.87
13585.074,0.08,-0.49,-0.87
13585.201,0.08,-0.49,-0.87
13585.328,0.08,-0.49,-0.87
13585.455,0.08,-0.49,-0.87
13585.582,0.08,-0.48,-0.87
13585.709,0.08,-0.49,-0.87
13585.836,0.08,-0.49,-0.87
13585.963,0.08,-0.49,-0.87
13586.09,0.08,-0.49,-0.87
13586.217,0.08,-0.48,-0.87
13586.344,0.08,-0.49,-0.87
13586.471,0.08,-0.49,-0.87
13586.598,0.08,-0.49,-0.87
13586.725,0.08,-0.49,-0.87
13586.852,0.08,-0.49,-0.87
13586.979,0.08,-0.48,-0.87
13587.106,0.08,-0.49,-0.87
13587.233,0.08,-0.49,-0.87
13587.36,0.08,-0.49,-0.87
13587.487,0.08,-0.49,-0.87
13587.614,0.07,-0.49,-0.87
13587.741,0.08,-0.49,-0.87
13587.868,0.08,-0.49,-0.87
13587.995,0.08,-0.49,-0.87
13588.122,0.07,-0.49,-0.87
13588.249,0.07,-0.48,-0.86
13588.376,0.08,-0.49,-0.87
13588.503,0.08,-0.49,-0.87
13588.63,0.07,-0.49,-0.87
13588.757,0.08,-0.48,-0.87
13588.884,0.08,-0.49,-0.87
13589.011,0.08,-0.49,-0.87
13589.138,0.07,-0.49,-0.87
13589.265,0.08,-0.49,-0.87
13589.392,0.07,-0.49,-0.87
13589.519,0.08,-0.49,-0.87
